psgc_int,adm4_en
1303901001,Barangay 1
1303901002,Barangay 2
1303901003,Barangay 3
1303901004,Barangay 4
1303901005,Barangay 5
1303901006,Barangay 6
1303901007,Barangay 7
1303901008,Barangay 8
1303901009,Barangay 9
1303901010,Barangay 10
1303901011,Barangay 11
1303901012,Barangay 12
1303901013,Barangay 13
1303901014,Barangay 14
1303901015,Barangay 15
1303901016,Barangay 16
1303901017,Barangay 17
1303901018,Barangay 18
1303901019,Barangay 19
1303901020,Barangay 20
1303901025,Barangay 25
1303901026,Barangay 26
1303901028,Barangay 28
1303901029,Barangay 29
1303901030,Barangay 30
1303901031,Barangay 31
1303901032,Barangay 32
1303901033,Barangay 33
1303901034,Barangay 34
1303901035,Barangay 35
1303901036,Barangay 36
1303901037,Barangay 37
1303901038,Barangay 38
1303901039,Barangay 39
1303901041,Barangay 41
1303901042,Barangay 42
1303901043,Barangay 43
1303901044,Barangay 44
1303901045,Barangay 45
1303901046,Barangay 46
1303901047,Barangay 47
1303901048,Barangay 48
1303901049,Barangay 49
1303901050,Barangay 50
1303901051,Barangay 51
1303901052,Barangay 52
1303901053,Barangay 53
1303901054,Barangay 54
1303901055,Barangay 55
1303901056,Barangay 56
1303901057,Barangay 57
1303901058,Barangay 58
1303901059,Barangay 59
1303901060,Barangay 60
1303901061,Barangay 61
1303901062,Barangay 62
1303901063,Barangay 63
1303901064,Barangay 64
1303901065,Barangay 65
1303901066,Barangay 66
1303901067,Barangay 67
1303901068,Barangay 68
1303901069,Barangay 69
1303901070,Barangay 70
1303901071,Barangay 71
1303901072,Barangay 72
1303901073,Barangay 73
1303901074,Barangay 74
1303901075,Barangay 75
1303901076,Barangay 76
1303901077,Barangay 77
1303901078,Barangay 78
1303901079,Barangay 79
1303901080,Barangay 80
1303901081,Barangay 81
1303901082,Barangay 82
1303901083,Barangay 83
1303901084,Barangay 84
1303901085,Barangay 85
1303901086,Barangay 86
1303901087,Barangay 87
1303901088,Barangay 88
1303901089,Barangay 89
1303901090,Barangay 90
1303901091,Barangay 91
1303901092,Barangay 92
1303901093,Barangay 93
1303901094,Barangay 94
1303901095,Barangay 95
1303901096,Barangay 96
1303901097,Barangay 97
1303901098,Barangay 98
1303901099,Barangay 99
1303901100,Barangay 100
1303901101,Barangay 101
1303901102,Barangay 102
1303901103,Barangay 103
1303901104,Barangay 104
1303901105,Barangay 105
1303901106,Barangay 106
1303901107,Barangay 107
1303901108,Barangay 108
1303901109,Barangay 109
1303901110,Barangay 110
1303901111,Barangay 111
1303901112,Barangay 112
1303901116,Barangay 116
1303901117,Barangay 117
1303901118,Barangay 118
1303901119,Barangay 119
1303901120,Barangay 120
1303901121,Barangay 121
1303901122,Barangay 122
1303901123,Barangay 123
1303901124,Barangay 124
1303901125,Barangay 125
1303901126,Barangay 126
1303901127,Barangay 127
1303901128,Barangay 128
1303901129,Barangay 129
1303901130,Barangay 130
1303901131,Barangay 131
1303901132,Barangay 132
1303901133,Barangay 133
1303901134,Barangay 134
1303901135,Barangay 135
1303901136,Barangay 136
1303901137,Barangay 137
1303901138,Barangay 138
1303901139,Barangay 139
1303901140,Barangay 140
1303901141,Barangay 141
1303901142,Barangay 142
1303901143,Barangay 143
1303901144,Barangay 144
1303901145,Barangay 145
1303901146,Barangay 146
1303901147,Barangay 147
1303901148,Barangay 148
1303901149,Barangay 149
1303901150,Barangay 150
1303901151,Barangay 151
1303901152,Barangay 152
1303901153,Barangay 153
1303901154,Barangay 154
1303901155,Barangay 155
1303901156,Barangay 156
1303901157,Barangay 157
1303901158,Barangay 158
1303901159,Barangay 159
1303901160,Barangay 160
1303901161,Barangay 161
1303901162,Barangay 162
1303901163,Barangay 163
1303901164,Barangay 164
1303901165,Barangay 165
1303901166,Barangay 166
1303901167,Barangay 167
1303901168,Barangay 168
1303901169,Barangay 169
1303901170,Barangay 170
1303901171,Barangay 171
1303901172,Barangay 172
1303901173,Barangay 173
1303901174,Barangay 174
1303901175,Barangay 175
1303901176,Barangay 176
1303901177,Barangay 177
1303901178,Barangay 178
1303901179,Barangay 179
1303901180,Barangay 180
1303901181,Barangay 181
1303901182,Barangay 182
1303901183,Barangay 183
1303901184,Barangay 184
1303901185,Barangay 185
1303901186,Barangay 186
1303901187,Barangay 187
1303901188,Barangay 188
1303901189,Barangay 189
1303901190,Barangay 190
1303901191,Barangay 191
1303901192,Barangay 192
1303901193,Barangay 193
1303901194,Barangay 194
1303901195,Barangay 195
1303901196,Barangay 196
1303901197,Barangay 197
1303901198,Barangay 198
1303901199,Barangay 199
1303901200,Barangay 200
1303901201,Barangay 201
1303901202,Barangay 202
1303901203,Barangay 203
1303901204,Barangay 204
1303901205,Barangay 205
1303901206,Barangay 206
1303901207,Barangay 207
1303901208,Barangay 208
1303901209,Barangay 209
1303901210,Barangay 210
1303901211,Barangay 211
1303901212,Barangay 212
1303901213,Barangay 213
1303901214,Barangay 214
